age,age_basket,job,marital,education,balance,balance_basket,default,housing,loan,contact,day,month,duration,duration_mins,duration_bucket,campaign,campaign_capped,pdays,previous,poutcome,term_deposit,term_deposit_numeric
57,50-66,services,married,secondary,162,Low (0-500),no,yes,no,unknown,5,may,174,2.9,1-3 mins,1,1,-1,0,unknown,no,0
51,50-66,retired,married,primary,229,Low (0-500),no,yes,no,unknown,5,may,353,5.88,5-10 mins,1,1,-1,0,unknown,no,0
45,35-49,admin.,single,unknown,13,Low (0-500),no,yes,no,unknown,5,may,98,1.63,1-3 mins,1,1,-1,0,unknown,no,0
57,50-66,blue-collar,married,primary,52,Low (0-500),no,yes,no,unknown,5,may,38,0.63,<1 min,1,1,-1,0,unknown,no,0
60,50-66,retired,married,primary,60,Low (0-500),no,yes,no,unknown,5,may,219,3.65,3-5 mins,1,1,-1,0,unknown,no,0
33,25-34,services,married,secondary,0,Negative,no,yes,no,unknown,5,may,54,0.9,<1 min,1,1,-1,0,unknown,no,0
28,25-34,blue-collar,married,secondary,723,Medium (500-2K),no,yes,yes,unknown,5,may,262,4.37,3-5 mins,1,1,-1,0,unknown,no,0
56,50-66,management,married,tertiary,779,Medium (500-2K),no,yes,no,unknown,5,may,164,2.73,1-3 mins,1,1,-1,0,unknown,no,0
32,25-34,blue-collar,single,primary,23,Low (0-500),no,yes,yes,unknown,5,may,160,2.67,1-3 mins,1,1,-1,0,unknown,no,0
25,25-34,services,married,secondary,50,Low (0-500),no,yes,no,unknown,5,may,342,5.7,5-10 mins,1,1,-1,0,unknown,no,0
40,35-49,retired,married,primary,0,Negative,no,yes,yes,unknown,5,may,181,3.02,3-5 mins,1,1,-1,0,unknown,no,0
44,35-49,admin.,married,secondary,-372,Negative,no,yes,no,unknown,5,may,172,2.87,1-3 mins,1,1,-1,0,unknown,no,0
39,35-49,management,single,tertiary,255,Low (0-500),no,yes,no,unknown,5,may,296,4.93,3-5 mins,1,1,-1,0,unknown,no,0
52,50-66,entrepreneur,married,secondary,113,Low (0-500),no,yes,yes,unknown,5,may,127,2.12,1-3 mins,1,1,-1,0,unknown,no,0
46,35-49,management,single,secondary,-246,Negative,no,yes,no,unknown,5,may,255,4.25,3-5 mins,2,2,-1,0,unknown,no,0
36,35-49,technician,single,secondary,265,Low (0-500),no,yes,yes,unknown,5,may,348,5.8,5-10 mins,1,1,-1,0,unknown,no,0
57,50-66,technician,married,secondary,839,Medium (500-2K),no,no,yes,unknown,5,may,225,3.75,3-5 mins,1,1,-1,0,unknown,no,0
49,35-49,management,married,tertiary,378,Low (0-500),no,yes,no,unknown,5,may,230,3.83,3-5 mins,1,1,-1,0,unknown,no,0
60,50-66,admin.,married,secondary,39,Low (0-500),no,yes,yes,unknown,5,may,208,3.47,3-5 mins,1,1,-1,0,unknown,no,0
59,50-66,blue-collar,married,secondary,0,Negative,no,yes,no,unknown,5,may,226,3.77,3-5 mins,1,1,-1,0,unknown,no,0
51,50-66,management,married,tertiary,10635,High (2K+),no,yes,no,unknown,5,may,336,5.6,5-10 mins,1,1,-1,0,unknown,no,0
57,50-66,technician,divorced,secondary,63,Low (0-500),no,yes,no,unknown,5,may,242,4.03,3-5 mins,1,1,-1,0,unknown,no,0
25,25-34,blue-collar,married,secondary,-7,Negative,no,yes,no,unknown,5,may,365,6.08,5-10 mins,1,1,-1,0,unknown,no,0
53,50-66,technician,married,secondary,-3,Negative,no,no,no,unknown,5,may,1666,27.77,10+ mins,1,1,-1,0,unknown,no,0
36,35-49,admin.,divorced,secondary,506,Medium (500-2K),no,yes,no,unknown,5,may,577,9.62,5-10 mins,1,1,-1,0,unknown,no,0
37,35-49,admin.,single,secondary,0,Negative,no,yes,no,unknown,5,may,137,2.28,1-3 mins,1,1,-1,0,unknown,no,0
44,35-49,services,divorced,secondary,2586,High (2K+),no,yes,no,unknown,5,may,160,2.67,1-3 mins,1,1,-1,0,unknown,no,0
50,50-66,management,married,secondary,49,Low (0-500),no,yes,no,unknown,5,may,180,3.0,1-3 mins,2,2,-1,0,unknown,no,0
60,50-66,blue-collar,married,unknown,104,Low (0-500),no,yes,no,unknown,5,may,22,0.37,<1 min,1,1,-1,0,unknown,no,0
54,50-66,retired,married,secondary,529,Medium (500-2K),no,yes,no,unknown,5,may,1492,24.87,10+ mins,1,1,-1,0,unknown,no,0
58,50-66,retired,married,unknown,96,Low (0-500),no,yes,no,unknown,5,may,616,10.27,10+ mins,1,1,-1,0,unknown,no,0
36,35-49,admin.,single,primary,-171,Negative,no,yes,no,unknown,5,may,242,4.03,3-5 mins,1,1,-1,0,unknown,no,0
58,50-66,self-employed,married,tertiary,-364,Negative,no,yes,no,unknown,5,may,355,5.92,5-10 mins,1,1,-1,0,unknown,no,0
44,35-49,technician,married,secondary,0,Negative,no,yes,no,unknown,5,may,225,3.75,3-5 mins,2,2,-1,0,unknown,no,0
55,50-66,technician,divorced,secondary,0,Negative,no,no,no,unknown,5,may,160,2.67,1-3 mins,1,1,-1,0,unknown,no,0
29,25-34,management,single,tertiary,0,Negative,no,yes,no,unknown,5,may,363,6.05,5-10 mins,1,1,-1,0,unknown,no,0
54,50-66,blue-collar,married,secondary,1291,Medium (500-2K),no,yes,no,unknown,5,may,266,4.43,3-5 mins,1,1,-1,0,unknown,no,0
48,35-49,management,divorced,tertiary,-244,Negative,no,yes,no,unknown,5,may,253,4.22,3-5 mins,1,1,-1,0,unknown,no,0
32,25-34,management,married,tertiary,0,Negative,no,yes,no,unknown,5,may,179,2.98,1-3 mins,1,1,-1,0,unknown,no,0
42,35-49,admin.,single,secondary,-76,Negative,no,yes,no,unknown,5,may,787,13.12,10+ mins,1,1,-1,0,unknown,no,0
24,18-24,technician,single,secondary,-103,Negative,no,yes,yes,unknown,5,may,145,2.42,1-3 mins,1,1,-1,0,unknown,no,0
38,35-49,entrepreneur,single,tertiary,243,Low (0-500),no,no,yes,unknown,5,may,174,2.9,1-3 mins,1,1,-1,0,unknown,no,0
38,35-49,management,single,tertiary,424,Low (0-500),no,yes,no,unknown,5,may,104,1.73,1-3 mins,1,1,-1,0,unknown,no,0
47,35-49,blue-collar,married,unknown,306,Low (0-500),no,yes,no,unknown,5,may,13,0.22,<1 min,1,1,-1,0,unknown,no,0
40,35-49,blue-collar,single,unknown,24,Low (0-500),no,yes,no,unknown,5,may,185,3.08,3-5 mins,1,1,-1,0,unknown,no,0
46,35-49,services,married,primary,179,Low (0-500),no,yes,no,unknown,5,may,1778,29.63,10+ mins,1,1,-1,0,unknown,no,0
32,25-34,admin.,married,tertiary,0,Negative,no,yes,no,unknown,5,may,138,2.3,1-3 mins,1,1,-1,0,unknown,no,0
53,50-66,technician,divorced,secondary,989,Medium (500-2K),no,yes,no,unknown,5,may,812,13.53,10+ mins,1,1,-1,0,unknown,no,0
57,50-66,blue-collar,married,primary,249,Low (0-500),no,yes,no,unknown,5,may,164,2.73,1-3 mins,1,1,-1,0,unknown,no,0
33,25-34,services,married,secondary,790,Medium (500-2K),no,yes,no,unknown,5,may,391,6.52,5-10 mins,1,1,-1,0,unknown,no,0
49,35-49,blue-collar,married,unknown,154,Low (0-500),no,yes,no,unknown,5,may,357,5.95,5-10 mins,1,1,-1,0,unknown,no,0
51,50-66,management,married,tertiary,6530,High (2K+),no,yes,no,unknown,5,may,91,1.52,1-3 mins,1,1,-1,0,unknown,no,0
60,50-66,retired,married,tertiary,100,Low (0-500),no,no,no,unknown,5,may,528,8.8,5-10 mins,1,1,-1,0,unknown,no,0
59,50-66,management,divorced,tertiary,59,Low (0-500),no,yes,no,unknown,5,may,273,4.55,3-5 mins,1,1,-1,0,unknown,no,0
55,50-66,technician,married,secondary,1205,Medium (500-2K),no,yes,no,unknown,5,may,158,2.63,1-3 mins,2,2,-1,0,unknown,no,0
35,35-49,blue-collar,single,secondary,12223,High (2K+),no,yes,yes,unknown,5,may,177,2.95,1-3 mins,1,1,-1,0,unknown,no,0
57,50-66,blue-collar,married,secondary,5935,High (2K+),no,yes,yes,unknown,5,may,258,4.3,3-5 mins,1,1,-1,0,unknown,no,0
31,25-34,services,married,secondary,25,Low (0-500),no,yes,yes,unknown,5,may,172,2.87,1-3 mins,1,1,-1,0,unknown,no,0
54,50-66,management,married,secondary,282,Low (0-500),no,yes,yes,unknown,5,may,154,2.57,1-3 mins,1,1,-1,0,unknown,no,0
55,50-66,blue-collar,married,primary,23,Low (0-500),no,yes,no,unknown,5,may,291,4.85,3-5 mins,1,1,-1,0,unknown,no,0
43,35-49,technician,married,secondary,1937,Medium (500-2K),no,yes,no,unknown,5,may,181,3.02,3-5 mins,1,1,-1,0,unknown,no,0
53,50-66,technician,married,secondary,384,Low (0-500),no,yes,no,unknown,5,may,176,2.93,1-3 mins,1,1,-1,0,unknown,no,0
44,35-49,blue-collar,married,secondary,582,Medium (500-2K),no,no,yes,unknown,5,may,211,3.52,3-5 mins,1,1,-1,0,unknown,no,0
55,50-66,services,divorced,secondary,91,Low (0-500),no,no,no,unknown,5,may,349,5.82,5-10 mins,1,1,-1,0,unknown,no,0
49,35-49,services,divorced,secondary,0,Negative,no,yes,yes,unknown,5,may,272,4.53,3-5 mins,1,1,-1,0,unknown,no,0
55,50-66,services,divorced,secondary,1,Low (0-500),yes,yes,no,unknown,5,may,208,3.47,3-5 mins,1,1,-1,0,unknown,no,0
45,35-49,admin.,single,secondary,206,Low (0-500),no,yes,no,unknown,5,may,193,3.22,3-5 mins,1,1,-1,0,unknown,no,0
47,35-49,services,divorced,secondary,164,Low (0-500),no,no,no,unknown,5,may,212,3.53,3-5 mins,1,1,-1,0,unknown,no,0
42,35-49,technician,single,secondary,690,Medium (500-2K),no,yes,no,unknown,5,may,20,0.33,<1 min,1,1,-1,0,unknown,no,0
59,50-66,admin.,married,secondary,2343,High (2K+),no,yes,no,unknown,5,may,1042,17.37,10+ mins,1,1,-1,0,unknown,yes,1
46,35-49,self-employed,married,tertiary,137,Low (0-500),no,yes,yes,unknown,5,may,246,4.1,3-5 mins,1,1,-1,0,unknown,no,0
51,50-66,blue-collar,married,primary,173,Low (0-500),no,yes,no,unknown,5,may,529,8.82,5-10 mins,2,2,-1,0,unknown,no,0
56,50-66,admin.,married,secondary,45,Low (0-500),no,no,no,unknown,5,may,1467,24.45,10+ mins,1,1,-1,0,unknown,yes,1
41,35-49,technician,married,secondary,1270,Medium (500-2K),no,yes,no,unknown,5,may,1389,23.15,10+ mins,1,1,-1,0,unknown,yes,1
46,35-49,management,divorced,secondary,16,Low (0-500),no,yes,yes,unknown,5,may,188,3.13,3-5 mins,2,2,-1,0,unknown,no,0
57,50-66,retired,married,secondary,486,Low (0-500),no,yes,no,unknown,5,may,180,3.0,1-3 mins,2,2,-1,0,unknown,no,0
42,35-49,management,single,secondary,50,Low (0-500),no,no,no,unknown,5,may,48,0.8,<1 min,1,1,-1,0,unknown,no,0
30,25-34,technician,married,secondary,152,Low (0-500),no,yes,yes,unknown,5,may,213,3.55,3-5 mins,2,2,-1,0,unknown,no,0
60,50-66,admin.,married,secondary,290,Low (0-500),no,yes,no,unknown,5,may,583,9.72,5-10 mins,1,1,-1,0,unknown,no,0
60,50-66,blue-collar,married,unknown,54,Low (0-500),no,yes,no,unknown,5,may,221,3.68,3-5 mins,1,1,-1,0,unknown,no,0
57,50-66,entrepreneur,divorced,secondary,-37,Negative,no,no,no,unknown,5,may,173,2.88,1-3 mins,1,1,-1,0,unknown,no,0
36,35-49,management,married,tertiary,101,Low (0-500),no,yes,yes,unknown,5,may,426,7.1,5-10 mins,1,1,-1,0,unknown,no,0
55,50-66,blue-collar,married,secondary,383,Low (0-500),no,no,no,unknown,5,may,287,4.78,3-5 mins,1,1,-1,0,unknown,no,0
60,50-66,retired,married,tertiary,81,Low (0-500),no,yes,no,unknown,5,may,101,1.68,1-3 mins,1,1,-1,0,unknown,no,0
39,35-49,technician,married,secondary,0,Negative,no,yes,no,unknown,5,may,203,3.38,3-5 mins,1,1,-1,0,unknown,no,0
46,35-49,management,married,tertiary,229,Low (0-500),no,yes,no,unknown,5,may,197,3.28,3-5 mins,1,1,-1,0,unknown,no,0
44,35-49,blue-collar,married,secondary,-674,Negative,no,yes,no,unknown,5,may,257,4.28,3-5 mins,1,1,-1,0,unknown,no,0
53,50-66,blue-collar,married,primary,90,Low (0-500),no,no,no,unknown,5,may,124,2.07,1-3 mins,1,1,-1,0,unknown,no,0
52,50-66,blue-collar,married,primary,128,Low (0-500),no,yes,no,unknown,5,may,229,3.82,3-5 mins,1,1,-1,0,unknown,no,0
59,50-66,blue-collar,married,primary,179,Low (0-500),no,yes,no,unknown,5,may,55,0.92,<1 min,3,3,-1,0,unknown,no,0
27,25-34,technician,single,tertiary,0,Negative,no,yes,no,unknown,5,may,400,6.67,5-10 mins,1,1,-1,0,unknown,no,0
44,35-49,blue-collar,married,secondary,54,Low (0-500),no,yes,no,unknown,5,may,197,3.28,3-5 mins,1,1,-1,0,unknown,no,0
47,35-49,technician,married,tertiary,151,Low (0-500),no,yes,no,unknown,5,may,190,3.17,3-5 mins,1,1,-1,0,unknown,no,0
34,25-34,admin.,married,secondary,61,Low (0-500),no,no,yes,unknown,5,may,21,0.35,<1 min,1,1,-1,0,unknown,no,0
59,50-66,retired,single,secondary,30,Low (0-500),no,yes,no,unknown,5,may,514,8.57,5-10 mins,1,1,-1,0,unknown,no,0
45,35-49,management,married,tertiary,523,Medium (500-2K),no,yes,no,unknown,5,may,849,14.15,10+ mins,2,2,-1,0,unknown,no,0
29,25-34,services,divorced,secondary,31,Low (0-500),no,yes,no,unknown,5,may,194,3.23,3-5 mins,1,1,-1,0,unknown,no,0
46,35-49,technician,divorced,secondary,79,Low (0-500),no,no,no,unknown,5,may,144,2.4,1-3 mins,1,1,-1,0,unknown,no,0
56,50-66,self-employed,married,primary,-34,Negative,no,yes,yes,unknown,5,may,212,3.53,3-5 mins,2,2,-1,0,unknown,no,0
36,35-49,blue-collar,married,primary,448,Low (0-500),no,yes,no,unknown,5,may,286,4.77,3-5 mins,1,1,-1,0,unknown,no,0
59,50-66,retired,divorced,primary,81,Low (0-500),no,yes,no,unknown,5,may,107,1.78,1-3 mins,1,1,-1,0,unknown,no,0
44,35-49,blue-collar,married,secondary,144,Low (0-500),no,yes,no,unknown,5,may,247,4.12,3-5 mins,2,2,-1,0,unknown,no,0
41,35-49,admin.,married,secondary,351,Low (0-500),no,yes,no,unknown,5,may,518,8.63,5-10 mins,1,1,-1,0,unknown,no,0
33,25-34,management,single,tertiary,-67,Negative,no,yes,no,unknown,5,may,364,6.07,5-10 mins,1,1,-1,0,unknown,no,0
59,50-66,management,divorced,tertiary,262,Low (0-500),no,no,no,unknown,5,may,178,2.97,1-3 mins,1,1,-1,0,unknown,no,0
57,50-66,technician,married,primary,0,Negative,no,no,no,unknown,5,may,98,1.63,1-3 mins,1,1,-1,0,unknown,no,0
56,50-66,technician,divorced,unknown,56,Low (0-500),no,yes,no,unknown,5,may,439,7.32,5-10 mins,1,1,-1,0,unknown,no,0
51,50-66,blue-collar,married,secondary,26,Low (0-500),no,yes,no,unknown,5,may,79,1.32,1-3 mins,1,1,-1,0,unknown,no,0
34,25-34,admin.,married,unknown,3,Low (0-500),no,yes,no,unknown,5,may,120,2.0,1-3 mins,3,3,-1,0,unknown,no,0
43,35-49,services,married,secondary,41,Low (0-500),no,yes,yes,unknown,5,may,127,2.12,1-3 mins,2,2,-1,0,unknown,no,0
52,50-66,technician,married,tertiary,7,Low (0-500),no,no,yes,unknown,5,may,175,2.92,1-3 mins,1,1,-1,0,unknown,no,0
33,25-34,technician,single,secondary,105,Low (0-500),no,yes,no,unknown,5,may,262,4.37,3-5 mins,2,2,-1,0,unknown,no,0
29,25-34,admin.,single,secondary,818,Medium (500-2K),no,yes,yes,unknown,5,may,61,1.02,1-3 mins,1,1,-1,0,unknown,no,0
34,25-34,services,married,secondary,-16,Negative,no,yes,yes,unknown,5,may,78,1.3,1-3 mins,1,1,-1,0,unknown,no,0
31,25-34,blue-collar,married,secondary,0,Negative,no,yes,no,unknown,5,may,143,2.38,1-3 mins,1,1,-1,0,unknown,no,0
55,50-66,services,married,secondary,2476,High (2K+),no,yes,no,unknown,5,may,579,9.65,5-10 mins,1,1,-1,0,unknown,yes,1
55,50-66,management,married,unknown,1185,Medium (500-2K),no,no,no,unknown,5,may,677,11.28,10+ mins,1,1,-1,0,unknown,no,0
32,25-34,admin.,single,secondary,217,Low (0-500),no,yes,no,unknown,5,may,345,5.75,5-10 mins,1,1,-1,0,unknown,no,0
38,35-49,technician,single,secondary,1685,Medium (500-2K),no,yes,no,unknown,5,may,185,3.08,3-5 mins,1,1,-1,0,unknown,no,0
55,50-66,admin.,single,secondary,802,Medium (500-2K),no,yes,yes,unknown,5,may,100,1.67,1-3 mins,2,2,-1,0,unknown,no,0
28,25-34,unemployed,single,tertiary,0,Negative,no,yes,no,unknown,5,may,125,2.08,1-3 mins,2,2,-1,0,unknown,no,0
23,18-24,blue-collar,married,secondary,94,Low (0-500),no,yes,no,unknown,5,may,193,3.22,3-5 mins,1,1,-1,0,unknown,no,0
32,25-34,technician,single,secondary,0,Negative,no,yes,no,unknown,5,may,136,2.27,1-3 mins,1,1,-1,0,unknown,no,0
43,35-49,services,single,unknown,0,Negative,no,no,no,unknown,5,may,73,1.22,1-3 mins,1,1,-1,0,unknown,no,0
32,25-34,blue-collar,married,secondary,517,Medium (500-2K),no,yes,no,unknown,5,may,528,8.8,5-10 mins,1,1,-1,0,unknown,no,0
46,35-49,blue-collar,married,secondary,265,Low (0-500),no,yes,no,unknown,5,may,541,9.02,5-10 mins,1,1,-1,0,unknown,no,0
53,50-66,housemaid,divorced,primary,947,Medium (500-2K),no,yes,no,unknown,5,may,163,2.72,1-3 mins,1,1,-1,0,unknown,no,0
34,25-34,self-employed,single,secondary,3,Low (0-500),no,yes,no,unknown,5,may,301,5.02,5-10 mins,1,1,-1,0,unknown,no,0
57,50-66,unemployed,married,tertiary,42,Low (0-500),no,no,no,unknown,5,may,46,0.77,<1 min,1,1,-1,0,unknown,no,0
37,35-49,blue-collar,married,secondary,37,Low (0-500),no,yes,no,unknown,5,may,204,3.4,3-5 mins,1,1,-1,0,unknown,no,0
59,50-66,blue-collar,married,secondary,57,Low (0-500),no,yes,no,unknown,5,may,98,1.63,1-3 mins,1,1,-1,0,unknown,no,0
33,25-34,services,married,secondary,22,Low (0-500),no,yes,no,unknown,5,may,71,1.18,1-3 mins,1,1,-1,0,unknown,no,0
56,50-66,blue-collar,divorced,primary,8,Low (0-500),no,yes,no,unknown,5,may,157,2.62,1-3 mins,2,2,-1,0,unknown,no,0
48,35-49,unemployed,married,secondary,293,Low (0-500),no,yes,no,unknown,5,may,243,4.05,3-5 mins,1,1,-1,0,unknown,no,0
43,35-49,services,married,primary,3,Low (0-500),no,yes,no,unknown,5,may,186,3.1,3-5 mins,2,2,-1,0,unknown,no,0
54,50-66,blue-collar,married,primary,348,Low (0-500),no,yes,no,unknown,5,may,579,9.65,5-10 mins,2,2,-1,0,unknown,no,0
51,50-66,blue-collar,married,unknown,-19,Negative,no,yes,no,unknown,5,may,163,2.72,1-3 mins,2,2,-1,0,unknown,no,0
26,25-34,student,single,secondary,0,Negative,no,yes,no,unknown,5,may,610,10.17,10+ mins,2,2,-1,0,unknown,no,0
40,35-49,management,married,tertiary,-4,Negative,no,yes,no,unknown,5,may,2033,33.88,10+ mins,1,1,-1,0,unknown,no,0
39,35-49,management,married,secondary,18,Low (0-500),no,yes,no,unknown,5,may,85,1.42,1-3 mins,1,1,-1,0,unknown,no,0
50,50-66,technician,married,primary,139,Low (0-500),no,no,no,unknown,5,may,114,1.9,1-3 mins,2,2,-1,0,unknown,no,0
41,35-49,services,married,secondary,0,Negative,no,yes,no,unknown,5,may,114,1.9,1-3 mins,2,2,-1,0,unknown,no,0
51,50-66,blue-collar,married,unknown,1883,Medium (500-2K),no,yes,no,unknown,5,may,57,0.95,<1 min,1,1,-1,0,unknown,no,0
60,50-66,retired,divorced,secondary,216,Low (0-500),no,yes,no,unknown,5,may,238,3.97,3-5 mins,1,1,-1,0,unknown,no,0
52,50-66,blue-collar,married,secondary,782,Medium (500-2K),no,yes,no,unknown,5,may,93,1.55,1-3 mins,3,3,-1,0,unknown,no,0
48,35-49,blue-collar,married,secondary,904,Medium (500-2K),no,yes,no,unknown,5,may,128,2.13,1-3 mins,2,2,-1,0,unknown,no,0
48,35-49,services,married,unknown,1705,Medium (500-2K),no,yes,no,unknown,5,may,107,1.78,1-3 mins,1,1,-1,0,unknown,no,0
39,35-49,technician,single,tertiary,47,Low (0-500),no,yes,no,unknown,5,may,181,3.02,3-5 mins,1,1,-1,0,unknown,no,0
47,35-49,services,single,secondary,176,Low (0-500),no,yes,no,unknown,5,may,303,5.05,5-10 mins,2,2,-1,0,unknown,no,0
40,35-49,blue-collar,married,secondary,1225,Medium (500-2K),no,yes,no,unknown,5,may,558,9.3,5-10 mins,5,5,-1,0,unknown,no,0
45,35-49,technician,married,secondary,86,Low (0-500),no,yes,no,unknown,5,may,270,4.5,3-5 mins,1,1,-1,0,unknown,no,0
26,25-34,admin.,single,secondary,82,Low (0-500),no,yes,no,unknown,5,may,228,3.8,3-5 mins,1,1,-1,0,unknown,no,0
52,50-66,management,married,tertiary,271,Low (0-500),no,yes,no,unknown,5,may,99,1.65,1-3 mins,1,1,-1,0,unknown,no,0
54,50-66,technician,married,secondary,1378,Medium (500-2K),no,yes,no,unknown,5,may,240,4.0,3-5 mins,1,1,-1,0,unknown,no,0
54,50-66,admin.,married,tertiary,184,Low (0-500),no,no,no,unknown,5,may,673,11.22,10+ mins,2,2,-1,0,unknown,yes,1
50,50-66,blue-collar,married,primary,0,Negative,no,no,no,unknown,5,may,233,3.88,3-5 mins,3,3,-1,0,unknown,no,0
35,35-49,blue-collar,married,secondary,0,Negative,no,yes,no,unknown,5,may,1056,17.6,10+ mins,1,1,-1,0,unknown,no,0
44,35-49,services,married,secondary,1357,Medium (500-2K),no,yes,yes,unknown,5,may,250,4.17,3-5 mins,1,1,-1,0,unknown,no,0
53,50-66,entrepreneur,married,unknown,19,Low (0-500),no,yes,no,unknown,5,may,252,4.2,3-5 mins,1,1,-1,0,unknown,no,0
35,35-49,retired,single,primary,434,Low (0-500),no,no,no,unknown,5,may,138,2.3,1-3 mins,1,1,-1,0,unknown,no,0
60,50-66,admin.,divorced,secondary,92,Low (0-500),no,yes,no,unknown,5,may,130,2.17,1-3 mins,1,1,-1,0,unknown,no,0
53,50-66,admin.,divorced,secondary,1151,Medium (500-2K),no,yes,no,unknown,5,may,412,6.87,5-10 mins,1,1,-1,0,unknown,no,0
48,35-49,unemployed,married,secondary,41,Low (0-500),no,yes,no,unknown,5,may,179,2.98,1-3 mins,2,2,-1,0,unknown,no,0
34,25-34,technician,married,secondary,51,Low (0-500),no,yes,no,unknown,5,may,19,0.32,<1 min,2,2,-1,0,unknown,no,0
54,50-66,services,married,secondary,214,Low (0-500),no,yes,no,unknown,5,may,458,7.63,5-10 mins,2,2,-1,0,unknown,no,0
51,50-66,management,married,secondary,1161,Medium (500-2K),no,yes,no,unknown,5,may,717,11.95,10+ mins,1,1,-1,0,unknown,no,0
31,25-34,services,married,tertiary,37,Low (0-500),no,yes,no,unknown,5,may,313,5.22,5-10 mins,1,1,-1,0,unknown,no,0
35,35-49,technician,divorced,secondary,787,Medium (500-2K),no,yes,no,unknown,5,may,683,11.38,10+ mins,2,2,-1,0,unknown,no,0
35,35-49,services,married,secondary,59,Low (0-500),no,yes,no,unknown,5,may,1077,17.95,10+ mins,1,1,-1,0,unknown,no,0
38,35-49,technician,married,secondary,253,Low (0-500),no,yes,no,unknown,5,may,416,6.93,5-10 mins,1,1,-1,0,unknown,no,0
36,35-49,admin.,married,tertiary,211,Low (0-500),no,yes,no,unknown,5,may,146,2.43,1-3 mins,2,2,-1,0,unknown,no,0
58,50-66,retired,married,primary,235,Low (0-500),no,yes,no,unknown,5,may,167,2.78,1-3 mins,1,1,-1,0,unknown,no,0
40,35-49,services,divorced,unknown,4384,High (2K+),no,yes,no,unknown,5,may,315,5.25,5-10 mins,1,1,-1,0,unknown,no,0
54,50-66,management,married,secondary,4080,High (2K+),no,no,no,unknown,5,may,140,2.33,1-3 mins,1,1,-1,0,unknown,no,0
34,25-34,blue-collar,single,secondary,53,Low (0-500),no,yes,yes,unknown,5,may,346,5.77,5-10 mins,1,1,-1,0,unknown,no,0
31,25-34,management,single,tertiary,0,Negative,no,yes,no,unknown,5,may,562,9.37,5-10 mins,1,1,-1,0,unknown,no,0
51,50-66,retired,married,secondary,2127,High (2K+),no,yes,no,unknown,5,may,172,2.87,1-3 mins,1,1,-1,0,unknown,no,0
33,25-34,management,married,tertiary,377,Low (0-500),no,yes,no,unknown,5,may,217,3.62,3-5 mins,1,1,-1,0,unknown,no,0
55,50-66,management,married,tertiary,73,Low (0-500),no,yes,no,unknown,5,may,142,2.37,1-3 mins,2,2,-1,0,unknown,no,0
42,35-49,admin.,married,secondary,445,Low (0-500),no,yes,no,unknown,5,may,67,1.12,1-3 mins,1,1,-1,0,unknown,no,0
34,25-34,blue-collar,married,secondary,243,Low (0-500),no,yes,no,unknown,5,may,291,4.85,3-5 mins,1,1,-1,0,unknown,no,0
33,25-34,blue-collar,single,secondary,307,Low (0-500),no,yes,no,unknown,5,may,309,5.15,5-10 mins,2,2,-1,0,unknown,no,0
38,35-49,services,married,secondary,155,Low (0-500),no,yes,no,unknown,5,may,248,4.13,3-5 mins,1,1,-1,0,unknown,no,0
